id,username,created_at,lang,favorite_count,retweet_count,text
1389996191086219273,sheilakathleen,2021-05-05 17:31:31,en,1,0,@szacharek He's a total vamp!
1389994980303949825,sheilakathleen,2021-05-05 17:26:42,en,11,0,He is so into me that it's honestly a little bit intimidating.
1389994576979664896,sheilakathleen,2021-05-05 17:25:06,en,12,0,He was frozen in that position. Staring right at me.
1389994501884858371,sheilakathleen,2021-05-05 17:24:48,und,41,0,https://t.co/BOQAl3VUeo
1389994121260064773,sheilakathleen,2021-05-05 17:23:18,en,20,1,"I'm going to share a picture of Tarzan the cat from this morning, but feel like it needs some kind of CW attached t… https://t.co/kCoWJ8t1HM"
1389987785516457985,sheilakathleen,2021-05-05 16:58:07,en,0,0,@emmylanepotter There's a lot there. I started reading her when she was just a blogger - way back at the beginning.… https://t.co/1uNfPyqeWL
1389984515284774915,sheilakathleen,2021-05-05 16:45:07,en,0,3,"RT @ChazEbert: Author Michael Koresky talks to @sheilakathleen about his new book, Films of Endearment: A Mother, a Son and the 80s Films T…"
1389982492527050756,sheilakathleen,2021-05-05 16:37:05,en,0,0,"@MiriamBale Love ""Sun Don't Shine""! Wish I was there!"
1389951840465326086,sheilakathleen,2021-05-05 14:35:17,en,2,0,@_katiestebbins_ It's already too much for me.
1389946381436133384,sheilakathleen,2021-05-05 14:13:35,en,6,0,@christinalefou I am so excited about this I don't know what to do.
1389945840719044611,sheilakathleen,2021-05-05 14:11:27,en,35,2,"I interviewed Michael Koresky about his beautiful book ""Films of Endearment: A Mother, a Son and the 80s Films That… https://t.co/T3jjeuDQje"
1389945459561664516,sheilakathleen,2021-05-05 14:09:56,en,1,0,@TravSD I love this.
1389704905024106497,sheilakathleen,2021-05-04 22:14:03,und,8,1,https://t.co/I7FyXm21oD
1389704522671562755,sheilakathleen,2021-05-04 22:12:32,en,4,0,@faceyouhate just a bit!
1389704121796775937,sheilakathleen,2021-05-04 22:10:56,en,182,13,Tuesday on Tuesday. https://t.co/6sGRqKzbHO
1389671044286488577,sheilakathleen,2021-05-04 19:59:30,en,1,0,@biscuitkitten DEAD.
1389655414120321029,sheilakathleen,2021-05-04 18:57:23,en,1,0,@biscuitkitten I think this is the one where fishing in the river goes terribly wrong? And I am DEAD.
1389634899745849346,sheilakathleen,2021-05-04 17:35:52,en,0,0,"@GarrityDen The two poems I put in that post are two of my faves - and yes, he became quite a distinguished-looking old man. 93 years old!!"
1389634259019780102,sheilakathleen,2021-05-04 17:33:20,en,0,51,"RT @drapedinhistory: “Spring” by Alphonse Mucha, part of the 1900 version of his popular Seasons series. https://t.co/NvqWwbMBGW"
1389632401815621638,sheilakathleen,2021-05-04 17:25:57,en,1,0,@Scar_Winchester I love when they get all thin and flat!
1389628644847493128,sheilakathleen,2021-05-04 17:11:01,en,1,0,@Scar_Winchester omg they glow
1389628498550169606,sheilakathleen,2021-05-04 17:10:26,en,2,0,"It came on my radar because of the YouTube reactor channels, who have been *on the case*. The best commentary about… https://t.co/LAmwYbyRIs"
1389627437823283201,sheilakathleen,2021-05-04 17:06:13,en,1,0,@Scar_Winchester Bottom right!
1389627376603119618,sheilakathleen,2021-05-04 17:05:59,und,1,0,@Scar_Winchester ha!!!
1389627311616675849,sheilakathleen,2021-05-04 17:05:43,en,1,0,Watching this whole Tramp Stamps thing unfold - and I'm not even on TikTok - has been fascinating. https://t.co/eqHVKxQKj2
1389625647635603459,sheilakathleen,2021-05-04 16:59:07,en,1,0,@willow_catelyn he's so good!
1389625560364687361,sheilakathleen,2021-05-04 16:58:46,en,2,0,"@Scar_Winchester lol and then - POOF - he's gone. He's like ""I need this now-until I don't need it at all, so bye bye."""
1389620981841465346,sheilakathleen,2021-05-04 16:40:34,en,1,0,@sun_me_dean He really is! He's so funny.
1389620641196908546,sheilakathleen,2021-05-04 16:39:13,en,50,5,No boundaries. https://t.co/P4Yi2exP6x
1389617906221203462,sheilakathleen,2021-05-04 16:28:21,en,10,0,Put up my monthly viewing diary for April. https://t.co/hS7VrPuVhd https://t.co/fJWNkNQFrk
1389617611479130118,sheilakathleen,2021-05-04 16:27:11,en,1,0,@parabasis Happy birthday!
1389614987925131270,sheilakathleen,2021-05-04 16:16:45,und,2,0,@willow_catelyn grrrrrrr
1389614483614670858,sheilakathleen,2021-05-04 16:14:45,en,5,0,"“Is there any virtue, for literature, for poetry, in the simple continuity of a tradition? I believe there is not.”… https://t.co/tPEQngPKr3"
1389612173366681604,sheilakathleen,2021-05-04 16:05:34,en,2,0,@jasondashbailey Definitely not a generational thing.
1389611196823834635,sheilakathleen,2021-05-04 16:01:41,en,0,0,@ToddHensley Welcome to the club! https://t.co/lj24SGBvCa
1389609359685136391,sheilakathleen,2021-05-04 15:54:23,en,0,0,@swatpants1 @jasondashbailey They were all bangers.
1389609211361996807,sheilakathleen,2021-05-04 15:53:48,en,1,0,"@Jaquandor @jasondashbailey I love your writing on Beethoven, Kelly - pretty sure you didn't call it ""discography"" though. lol"
1389365432277250050,sheilakathleen,2021-05-03 23:45:06,en,494,2,"@jasondashbailey also I'm crying with laughter at all of the responses to the ""discography"" comment."
1389365091653533700,sheilakathleen,2021-05-03 23:43:45,en,1173,25,"@jasondashbailey ""We're not obligated to know what happened before we were born."" Imagine being like this."
1389362572080656390,sheilakathleen,2021-05-03 23:33:44,en,1,0,@Rowrbazzle @ebertvoices and thanks!
1389362523540017158,sheilakathleen,2021-05-03 23:33:33,en,0,0,@Rowrbazzle @ebertvoices You too?? https://t.co/A7Do3MWnsf
1389352274149904385,sheilakathleen,2021-05-03 22:52:49,en,1,0,@Jaquandor @ebertvoices Yay! It's so much fun!
1389340688245010432,sheilakathleen,2021-05-03 22:06:47,en,21,5,It's Mary Astor's birthday. A couple years back I wrote a thing for @ebertvoices about Edward Sorel's  entertaining… https://t.co/CDJN4CaA18
1389339418234851331,sheilakathleen,2021-05-03 22:01:44,en,0,7,"RT @mimismartypants: Oh no, for everyone? I kinda like being married https://t.co/tutkMG6UaV"
1389338792989954050,sheilakathleen,2021-05-03 21:59:15,en,1,0,@faceyouhate @biscuitkitten @SeanMBurns Quotation marks around shot.
1389338689684312068,sheilakathleen,2021-05-03 21:58:50,en,4,0,@faceyouhate @biscuitkitten @SeanMBurns It's the shot of Gates laughing at the other guys and moving around that re… https://t.co/TZGUodxgYO
1389337991315869705,sheilakathleen,2021-05-03 21:56:04,en,3,0,@biscuitkitten @SeanMBurns @faceyouhate It hurts me to look at that. I have so many feelings. I legit block it out… https://t.co/m5fLDpax9B
1389337760067117058,sheilakathleen,2021-05-03 21:55:09,en,3,0,"@faceyouhate @SeanMBurns I can't, Bill. I want to die."
1389337359800471553,sheilakathleen,2021-05-03 21:53:33,en,2,0,@SeanMBurns @faceyouhate I wish I could Eternal Sunshine of the Spotless Mind just this one clip.
1389336994019483656,sheilakathleen,2021-05-03 21:52:06,en,3,0,@SeanMBurns @faceyouhate I'm so embarrassed I want to die.
1389336912935194625,sheilakathleen,2021-05-03 21:51:47,und,5,1,@paulduanefilm https://t.co/uAkrYP0gNg
1389336634781487105,sheilakathleen,2021-05-03 21:50:41,en,1,0,"@paulduanefilm there's a pic of Elvis I always call his ""Querelle photo"". It's such an obscure reference but now I… https://t.co/QGYJKaYOaS"
1389336103317090305,sheilakathleen,2021-05-03 21:48:34,en,4,0,@SeanMBurns the cringe with this is so intense I block it out after every time I see it. and then it all comes flooding back.
1389334789338116097,sheilakathleen,2021-05-03 21:43:21,und,1,0,@paulduanefilm Yup
1389332612745994245,sheilakathleen,2021-05-03 21:34:42,en,16,2,"Trailer just launched for HEELS, the new show my cousin @TheMikeOMalley is show-running. Really excited, it looks s… https://t.co/Okl5qHNpVT"
1388995851301883906,sheilakathleen,2021-05-02 23:16:31,en,0,0,@guitarmaniax111 Dammit!  I'll keep my eyes peeled for it - thanks!
1388994926684381185,sheilakathleen,2021-05-02 23:12:51,en,0,1,RT @Jaquandor: @sheilakathleen She had one scene in WORKING GIRL where she's just terrific as the temp agency person who has to tell Melani…
1388993118759014404,sheilakathleen,2021-05-02 23:05:40,en,0,1,"RT @francis_lomax: @sheilakathleen Maybe not an ""important"" one, but I love this. 
https://t.co/nIv1662XG2"
1388993100765437952,sheilakathleen,2021-05-02 23:05:36,en,1,0,@francis_lomax Oh God I love this one.
1388993025876152326,sheilakathleen,2021-05-02 23:05:18,en,1,0,@Sam_Maddy I didn't know that! That's so great!
1388992930820640769,sheilakathleen,2021-05-02 23:04:55,en,0,0,@guitarmaniax111 I will look for that - that sounds amazing.
1388992855792889857,sheilakathleen,2021-05-02 23:04:37,en,0,1,"RT @guitarmaniax111: @sheilakathleen “Jack The Ripper”. I could listen to this on an endless loop. If “Rumble” is the promise, “Jack The Ri…"
1388992821458259972,sheilakathleen,2021-05-02 23:04:29,en,0,1,"RT @guitarmaniax111: @sheilakathleen Also, there is a nearly complete live show from Bill Graham’s Winterland in ‘74. Best tone EVER. When…"
1388927367905751042,sheilakathleen,2021-05-02 18:44:24,en,0,2,"RT @doctor_morbius: @sheilakathleen The minimalist sculptor Constantin Brancusi once said ""Simplicity is complexity resolved."" That's ""Rumb…"
1388927338964996102,sheilakathleen,2021-05-02 18:44:17,en,1,0,@doctor_morbius I hadn't heard that - I like that a lot!
1388926275054710792,sheilakathleen,2021-05-02 18:40:03,en,0,1,"RT @doctor_morbius: @sheilakathleen ""The Shadow Knows"" is SUCH a mean groove. 

(For what it's worth, ""Rumble"" is insanely fun to play. Tha…"
1388926257837006857,sheilakathleen,2021-05-02 18:39:59,en,1,0,@doctor_morbius I think that's one of the enduring mysteries/pleasures of Rumble! - it's not complicated at all. It… https://t.co/quJ5hAf5LC
1388925868089688064,sheilakathleen,2021-05-02 18:38:26,en,0,1,"RT @miss_reading: saw the great Link Wray at the Horseshoe, late 90s probably. incredible show. his wife sat at stage right the whole set,…"
1388925810929766401,sheilakathleen,2021-05-02 18:38:12,en,0,0,@miss_reading that is amazing.
1388924976741425152,sheilakathleen,2021-05-02 18:34:54,en,1,0,I so agree with this. https://t.co/CaVBGxv4mS https://t.co/ImCoEkfeEC
1388922970102501381,sheilakathleen,2021-05-02 18:26:55,und,0,0,@r_jasonbennion yes!
1388922951014260741,sheilakathleen,2021-05-02 18:26:51,en,0,1,"RT @r_jasonbennion: @sheilakathleen Her Anna Madrigal in Tales of the City is absolutely 100% real in my mind, and I love her."
1388921016722788352,sheilakathleen,2021-05-02 18:19:09,en,1,0,@daveabrowne and then how he fuzzes it out into total distortion - it's so bold.
1388920932073365512,sheilakathleen,2021-05-02 18:18:49,en,0,1,RT @daveabrowne: @sheilakathleen The first 3 chords in Rumble have more cool in them than most Rock careers. And it just builds from there.
1388919030354960384,sheilakathleen,2021-05-02 18:11:16,und,1,0,@Den_Hikikomori Yes!
1388918995512922112,sheilakathleen,2021-05-02 18:11:08,en,0,1,RT @Den_Hikikomori: @sheilakathleen His self titled album Link Wray is great.
1388918751681200131,sheilakathleen,2021-05-02 18:10:09,en,0,0,"@VoteCats4Biden I say ""saddened"" not in a judgmental way at all - I have  found that his name is just not as well-k… https://t.co/sy2zxaruDM"
1388918374449696774,sheilakathleen,2021-05-02 18:08:39,en,8,0,Link Wray fans and guitar nerds: fave LW tracks? Thoughts? https://t.co/5N4jzrGQKu
1388917691159924737,sheilakathleen,2021-05-02 18:05:57,en,0,2,RT @daveabrowne: Great thread on Link Wray - one of the great fathers of Rock guitar.  Every guitarist I admired as a teen - that inspired…
1388917675133444099,sheilakathleen,2021-05-02 18:05:53,en,1,0,@daveabrowne Thank you! The swagger is overwhelming!
1388917431331168261,sheilakathleen,2021-05-02 18:04:55,en,0,0,@VoteCats4Biden It saddens me when I hear this!! - you are not the only one who has responded this way - so I am SU… https://t.co/Jdr7ZUIkBy
1388916726549647363,sheilakathleen,2021-05-02 18:02:07,en,0,1,RT @kurt_loder: @sheilakathleen Danelectro to die for
1388916711160692741,sheilakathleen,2021-05-02 18:02:03,und,0,0,@kurt_loder yes
1388915278478811139,sheilakathleen,2021-05-02 17:56:21,en,15,0,I jsut realized there's only one live clip in this whole thread - so I'll close it out with a clip of him in 1974 d… https://t.co/xhNjDKhjGV
1388915052368044038,sheilakathleen,2021-05-02 17:55:27,en,0,0,@CNNLADavid so wonderful!
1388914965394907140,sheilakathleen,2021-05-02 17:55:07,en,10,1,"He grew up in a town dominated by the KKK, and his family (Shawnee) was persecuted, crosses burned on their lawns.… https://t.co/m9HBFUGvdb"
1388913852876787714,sheilakathleen,2021-05-02 17:50:41,en,11,0,"I am trying to picture turning on the TV in 1959, complacent, thinking I know what I'm about to see  ... and then h… https://t.co/AfDQkSiNYy"
1388913522747355141,sheilakathleen,2021-05-02 17:49:23,en,16,2,"His version of ""Fever"" is pure sex. https://t.co/7DhtWwY99U"
1388913147520720898,sheilakathleen,2021-05-02 17:47:53,en,12,1,"I'll just pull out a couple of my fave tracks. In his version of ""Good Rockin' Tonight"" when he wails “Have you hea… https://t.co/qpq6s3opGJ"
1388912755743371265,sheilakathleen,2021-05-02 17:46:20,en,14,0,"""Rumble"" is in the Rock and Roll Hall of Fame in the ""singles"" category. But Link Wray is not in the Rock and Roll… https://t.co/QZ38Pvzjl1"
1388912612096806916,sheilakathleen,2021-05-02 17:45:46,en,17,2,"Link Wray tells the story of how ""Rumble"" was born - almost by accident. (Naturally, I am happy about his shirt). L… https://t.co/8VYQp4podg"
1388912302464843787,sheilakathleen,2021-05-02 17:44:32,en,15,0,I love how Jimmy Page just bursts out laughing when he's listening to the Link Wray record (in Tweet above). He can… https://t.co/6opFosPHA5
1388912152103243778,sheilakathleen,2021-05-02 17:43:56,en,13,0,"""The first time I heard 'Rumble' ... it was something that had so much profound attitude ..."" -- Jimmy Page. Here,… https://t.co/DeZQ1CG4Cs"
1388911977939054592,sheilakathleen,2021-05-02 17:43:14,en,14,0,"""It's the sexiest toughest chord change in all of rock 'n roll."" -- Steven Van Zandt on ""Rumble"". More guitarist ap… https://t.co/zNhBwWYRbV"
1388911676297199616,sheilakathleen,2021-05-02 17:42:03,en,9,0,And you know what? The people who were afraid of it weren’t wrong. Those who were afraid of “Rumble” sensed correct… https://t.co/ic3qJ3UeGt
1388911263271489537,sheilakathleen,2021-05-02 17:40:24,en,21,2,"First, we have to talk about ""Rumble."" ""Rumble"" (1958) was considered so dangerous that radio stations refused to p… https://t.co/458mWGB5L3"
1388910789575204870,sheilakathleen,2021-05-02 17:38:31,en,83,25,"It's the birthday of the father of the power-chord and all-around rock 'n roll icon, Link Wray. A little thread.… https://t.co/64XSIXIiqU"
1388908143728541696,sheilakathleen,2021-05-02 17:28:00,en,0,128,"RT @selfstyledsiren: FINALLY. For Satyajit Ray's centenary, some kind soul has posted a full version of the great director being presented…"
1388907979177664513,sheilakathleen,2021-05-02 17:27:21,en,47,12,"Wrote an appreciation post for Olympia Dukakis on my site incl:
1. Intv she gave about doing THE SEAGULL at William… https://t.co/7vk6G5E5Eu"
1388906962440663048,sheilakathleen,2021-05-02 17:23:19,en,2,0,@judysquirrels I'm so sorry this is happening. Reported.
1388235825830371330,sheilakathleen,2021-04-30 20:56:27,en,9,1,Honored to have been one of the jurors for @indiememphis ' Women's Short Film Grant. Congratulations to Laura Jean… https://t.co/W8vvw4Ymxl
1387944081502916613,sheilakathleen,2021-04-30 01:37:10,en,1,0,@adarrieussecq @FilmComment Thank you!
1387940110826676227,sheilakathleen,2021-04-30 01:21:23,en,16,4,Very proud to have been a juror for @indiememphis ' Women's Short Film Grant. So many talented applicants! Stay tun… https://t.co/prE3JwFNSf
1387902939633577985,sheilakathleen,2021-04-29 22:53:41,en,74,9,Carole Lombard knitting. https://t.co/chzmTp6VjZ
1387900524117250054,sheilakathleen,2021-04-29 22:44:05,en,40,2,"For Daniel Day-Lewis' birthday, here's my @FilmComment cover story piece on PHANTOM THREAD. https://t.co/0lcDcVQjlv"
1387845359553196048,sheilakathleen,2021-04-29 19:04:53,en,0,28,RT @ymmayer: @HollywoodLife literally everyone else in the world looks more like lucille ball
1387819119882477568,sheilakathleen,2021-04-29 17:20:37,en,3,0,@JosephFinn @AWolfeful Peter Frechette and I share an alma mater - dif. years and generations -but we (my acting pr… https://t.co/1j9EvMLvrO
1387818131993894915,sheilakathleen,2021-04-29 17:16:41,en,1,0,"@SeanRobbins13 now that I know about him, I'll keep my eyes peeled."
1387818044479709189,sheilakathleen,2021-04-29 17:16:20,en,3,0,@AWolfeful The hair. It's like a community theatre production of GREASE 2. I know there's so much else that's wrong… https://t.co/IyeqFjATtc
1387817625120563203,sheilakathleen,2021-04-29 17:14:40,en,0,9,"RT @selfstyledsiren: Though I love others, I'll add RUBY GENTRY (King Vidor, 1952), which the mighty Dave Kehr called ""a late masterpiece.""…"
1387817451073806351,sheilakathleen,2021-04-29 17:13:59,en,1,0,@SeanRobbins13 really? I love miniature things. thanks for introducing me to him.
1387817048479342596,sheilakathleen,2021-04-29 17:12:23,en,0,1,RT @afrobella: @sheilakathleen there's a warmth and a familiarity there that feels like a hug. He does so many awesome covers but that's a…
1387816854362669059,sheilakathleen,2021-04-29 17:11:37,en,1,0,@SeanRobbins13 I had never heard of him so I just Googled and am now down the rabbit hole. See you next week!
1387816621205491717,sheilakathleen,2021-04-29 17:10:41,en,0,1,RT @SeanRobbins13: This screen grab is a Philip Campbell Curtis painting come to life. ❤️ https://t.co/3WgtOGGDY9
1387816278929379330,sheilakathleen,2021-04-29 17:09:19,en,1,0,"@inthefade exact same for me, and exact same people, lol."
1387815521110970377,sheilakathleen,2021-04-29 17:06:19,und,0,0,@DanPostino lol
1387814447465566215,sheilakathleen,2021-04-29 17:02:03,en,1,0,@Travexas Good life advice!
1387814021420752900,sheilakathleen,2021-04-29 17:00:21,en,4,0,@GennHutchison this is such a country song.
1387802676440805386,sheilakathleen,2021-04-29 16:15:16,en,0,0,@paulduanefilm It's too much!
1387801870085861383,sheilakathleen,2021-04-29 16:12:04,und,0,1,RT @paulduanefilm: @SeanMBurns @sheilakathleen https://t.co/3WCj6biiXX
1387801809381699585,sheilakathleen,2021-04-29 16:11:50,en,5,1,Willie Nelson's version of this song is so good. https://t.co/QYJ9U3ndn0
1387801664019632129,sheilakathleen,2021-04-29 16:11:15,en,2,0,@afrobella I absolutely love his version of this! The second it starts you want to just start snapping your fingers… https://t.co/RSlniSzqva
1387799324931854342,sheilakathleen,2021-04-29 16:01:57,en,0,1,RT @JamesWolcott: It also has one of the greatest lines and line deliveries ever from Rip Torn. Don't want to give it away but when you hea…
1387799213539483650,sheilakathleen,2021-04-29 16:01:31,en,0,1,RT @SeanMBurns: @sheilakathleen @paulduanefilm It’s the source of this blessed image. https://t.co/sDasRSzZE3
1387799105905233922,sheilakathleen,2021-04-29 16:01:05,und,0,0,@SeanMBurns @paulduanefilm lol
1387798814166237190,sheilakathleen,2021-04-29 15:59:56,en,2,0,"@SeanMBurns @paulduanefilm I gotta get on this train. I will. Thanks for the rec, boys."
1387798701385658369,sheilakathleen,2021-04-29 15:59:29,en,0,0,@petersob13 oh yessss
1387798004074172420,sheilakathleen,2021-04-29 15:56:42,en,0,1,"RT @paulduanefilm: @sheilakathleen It's on Prime I think. The opening five minutes had me watching with my mouth open, it's like a country…"
1387797986873389060,sheilakathleen,2021-04-29 15:56:38,en,1,0,@paulduanefilm Thank you Paul! will check it out!
1387797864374484994,sheilakathleen,2021-04-29 15:56:09,en,0,1,"RT @paulduanefilm: @sheilakathleen Have you seen Alan Rudolph's SONGWRITER, Sheila? I discovered it last year and it is a really superb Wil…"
1387797845500211202,sheilakathleen,2021-04-29 15:56:05,en,0,1,RT @afrobella: @sheilakathleen My dad raised me on his music. There's a photo of me somewhere -- I'm 3 years old and hugging the Stardust L…
1387797754852823049,sheilakathleen,2021-04-29 15:55:43,en,2,0,@paulduanefilm I haven't - wow - it has all the elements I love!
1387797586074087429,sheilakathleen,2021-04-29 15:55:03,en,1,0,"@afrobella // I'm 3 years old and hugging the Stardust LP // that is so adorable!  yes, his music connects me to so… https://t.co/TeGFTOC7ke"
1387797035848544258,sheilakathleen,2021-04-29 15:52:52,en,20,4,"Frans Masereel, the ""woodcut novelist"", 1929. I love his stuff. A graphic novelist, really. He and George Grosz wer… https://t.co/DER0ewMRNk"
1387796093514223618,sheilakathleen,2021-04-29 15:49:07,en,19,2,The 2014 duet Willie Nelson did with Dolly Parton is perfection. https://t.co/47v8pxURvr
1387795411973324806,sheilakathleen,2021-04-29 15:46:24,en,1,0,@rudyfan awesome!
1387794921529257987,sheilakathleen,2021-04-29 15:44:27,en,1,0,@qassidas I showed him a picture of the helmet and his jaw dropped. Heart-crack.
1387794840612651010,sheilakathleen,2021-04-29 15:44:08,en,0,0,"@guygavrielkay I refuse to let Twitter language rules against things like humor, hyperbole, rhetorical questions, a… https://t.co/lO45QjBgw7"
1387794137294979072,sheilakathleen,2021-04-29 15:41:20,en,0,0,"@guygavrielkay You're not wrong, because you just did it."
1387791642934009863,sheilakathleen,2021-04-29 15:31:26,en,88,12,"Oh wait, not ""finally"". One more. Here is the greatest moment in Twitter history. Happy 88th, Willie Nelson! https://t.co/BnF8rhRfFF"
1387791370828619776,sheilakathleen,2021-04-29 15:30:21,en,21,3,"And finally, a couple of pics from when I saw Willie Nelson at Outlaw Fest in the dark jittery autumn of 2017. It w… https://t.co/9RNvZx6gk2"
1387790947250053126,sheilakathleen,2021-04-29 15:28:40,en,1,0,@JohnBeifuss @MiriamBale I blame WHW trailer which made it look like an erotic thriller. I wrote about this in my p… https://t.co/V59EKIIdcV
1387790489928228867,sheilakathleen,2021-04-29 15:26:51,en,20,1,"One more screengrab from @lianlunson 's WAITING FOR THE MIRACLE TO COME, because I think it's so evocative of who W… https://t.co/nviZnDOCRJ"
1387790314912505866,sheilakathleen,2021-04-29 15:26:09,en,16,3,Some screengrabs from @lianlunson 's WAITING FOR THE MIRACLE TO COME: https://t.co/aeSDAW68nC
1387789900850806787,sheilakathleen,2021-04-29 15:24:30,en,13,3,"In 2019, I interviewed writer/director @lianlunson about her film WAITING FOR THE MIRACLE TO COME, starring Willie… https://t.co/eV3WyjwyHk"
1387788545650221059,sheilakathleen,2021-04-29 15:19:07,en,217,42,“Ninety-nine percent of the world’s lovers are not with their first choice. That’s what makes the jukebox play.” –… https://t.co/lyqdj02umR
1387787894635573248,sheilakathleen,2021-04-29 15:16:32,en,7,0,"@judysquirrels so true!! to me, this discussion part of things - disagreements and all - are the fun of it. It's so… https://t.co/JLEuJrRxYs"
1387787314856931336,sheilakathleen,2021-04-29 15:14:14,en,1,0,"@qassidas Oooh!!  and my nephew is now obsessed with all things Viking ships/treasures/Anglo-Saxon-marauders, etc. I'll show this to him."
1387787022019043331,sheilakathleen,2021-04-29 15:13:04,en,0,0,"@JohnBeifuss @MiriamBale Ebert's review is frustrating. He said the characters didn't have ""chemistry"" But ... They… https://t.co/PeQedVC3b7"
1387786373571260421,sheilakathleen,2021-04-29 15:10:29,en,1,0,@MiriamBale @JohnBeifuss Thank you Miriam!! I am really excited to hear your thoughts about this film! Out on DVD i… https://t.co/h78FyRjObI
1385981481470812161,sheilakathleen,2021-04-24 15:38:30,no,67,13,Barbra. #BOTD https://t.co/xdNfCC0g3I
1385980587647844356,sheilakathleen,2021-04-24 15:34:57,en,14,5,"Joan Jett was interviewed for the doc SUZI Q, about Suzi Quatro. Important stuff. Pic included of young JJ in her b… https://t.co/NioSLwsiiL"
1385978216402272257,sheilakathleen,2021-04-24 15:25:31,en,12,2,"Here's a story I from my Wanda Jackson tribute last October, complete w/pics. I was working the door w/my friend at… https://t.co/qrB3uyc9DC"
1385977511327186944,sheilakathleen,2021-04-24 15:22:43,en,35,7,"I'm only posting all this b/c she's Trending - or she was - not for any bad reason, just because she's great. There… https://t.co/xPwnGUwOgM"
1385976858806833153,sheilakathleen,2021-04-24 15:20:08,en,12,2,"I took these pics of Joan Jett's guitar at the Play It Loud exhibit at the Met, which was so much fun. So many lege… https://t.co/r6EcyAfR8K"
1385976221490688007,sheilakathleen,2021-04-24 15:17:36,en,39,4,The statement Joan Jett released when Mary Tyler Moore died: https://t.co/B5bJ695UqW
1385975950563844097,sheilakathleen,2021-04-24 15:16:31,und,1,0,@mcastimovies lol
1385967781250752517,sheilakathleen,2021-04-24 14:44:03,en,1,0,@mcastimovies I love blurry animal pictures.
1385967473158148101,sheilakathleen,2021-04-24 14:42:50,en,76,7,"Joan Jett performing ""Love Is All Around"", the Mary Tyler Moore show theme song - on Letterman. I've seen JJ in con… https://t.co/GeaveVasOO"
1385964736257445890,sheilakathleen,2021-04-24 14:31:57,en,1,0,@biscuitkitten That is a fantastic interview. He's so prickly and transparent and smart and out-there.
1385961685903630343,sheilakathleen,2021-04-24 14:19:50,en,0,7,"RT @BilgeEbiri: I’ve seen this movie something like six times over the years, and it’s gone from “has a couple of scary scenes” to “I wonde…"
1385961668509843456,sheilakathleen,2021-04-24 14:19:46,en,0,132,RT @BilgeEbiri: The most upsetting thing about David Fincher’s ZODIAC is that it actually gets scarier the more you watch it.
1385961616013856770,sheilakathleen,2021-04-24 14:19:33,en,0,0,@BilgeEbiri @JamesSchamus so true!
1385959687154278401,sheilakathleen,2021-04-24 14:11:53,en,1,0,"@biscuitkitten ""you can’t name an album 'Ampersand.'"" I love him. I had no idea this was happening! https://t.co/6ZVu6A9eF5"
1385958223270891520,sheilakathleen,2021-04-24 14:06:04,en,0,2,"RT @MarcGiller: Utterly fascinating.

If any subject dreams out for a biopic, it's Lee Miller. https://t.co/wZogqk0bjM"
1385958195324231684,sheilakathleen,2021-04-24 14:05:58,und,1,0,@biscuitkitten Oooh!
1385680977150758920,sheilakathleen,2021-04-23 19:44:24,en,1,0,"@surf_rockaway Might be a better limited series, actually - so many different life chapters."
1385674439824744449,sheilakathleen,2021-04-23 19:18:25,en,1,0,@surf_rockaway I imagine there will be eventually. Knowledge about her and her work is a somewhat recent developmen… https://t.co/5zQolTI1K6
1385671853914705920,sheilakathleen,2021-04-23 19:08:09,en,0,2,RT @ARTofCOOP: @sheilakathleen I always wonder just how many people who went through WW2 suffered from PTSD without even knowing what it wa…
1385670755883659267,sheilakathleen,2021-04-23 19:03:47,en,1,0,"@ARTofCOOP Yes same with my family.  Shattering experiences, white-knuckled it. It's painful to think about."
1385670603982712833,sheilakathleen,2021-04-23 19:03:11,en,1,0,@surf_rockaway You're welcome! Thanks for reading! There's a recent bio out too although I haven't read it.
1385654133038977031,sheilakathleen,2021-04-23 17:57:44,en,66,19,It's Lee Miller's birthday: “I would rather take a photograph than be one.” From model to Man Ray/Jean Cocteau coll… https://t.co/evfSFXNfvG
1385652592903077892,sheilakathleen,2021-04-23 17:51:36,und,1,0,@Jaquandor Ew.
1385374678437486593,sheilakathleen,2021-04-22 23:27:17,en,17,2,Such tragic news. Lance was kind and smart and supportive back in the early days when I was just blogging stuff lik… https://t.co/DCjfu2TL7J
1385374046192349184,sheilakathleen,2021-04-22 23:24:46,en,2,0,@selfstyledsiren @LanceMannion Thank you so much.
1385359308125315074,sheilakathleen,2021-04-22 22:26:12,en,0,148,"RT @JFrankensteiner: Besides being a great filmmaker, Monte Hellman (along with Harvey Keitel) pretty much launched Quentin Tarantino as a…"
1385358468455010304,sheilakathleen,2021-04-22 22:22:52,en,1,0,"@LanceMannion I am so sorry. As with many other people responding, he was a frequent reader of my blog - (and vice… https://t.co/gVFqjaMaQ6"
1385358095463985153,sheilakathleen,2021-04-22 22:21:23,en,5,1,"@selfstyledsiren Oh Farran, no!!  He was so kind, so smart. This is such sad news."
1385357808607154183,sheilakathleen,2021-04-22 22:20:14,en,37,2,"""I didn't think of myself as liberated, and I don't believe that I did anything important. I was just myself. I did… https://t.co/hFtVGGcvL8"
1384594110816952327,sheilakathleen,2021-04-20 19:45:35,en,2,0,@rudyfan @rehundt @_daveyH Me too!
