,lemmas
"['nisarnaveen',",4
"'recruiter',",4
"'predict',",4
'truth'],4
'grow'],4
"'fine',",4
"'bitcoin',",4
"'rtpcr',",4
"['nimishjoker',",4
'lose'],4
"'scientist',",4
"'away',",4
"'list',",4
'vaccine'],4
'life'],4
"'degree',",4
"'school',",4
"'cough',",4
"'build',",4
"['lockdown',",4
"'waste',",4
"'platform',",4
"['book',",4
"'pcr',",4
"'delhi',",4
"'clearly',",4
"'willing',",4
"'team',",4
"['raunak',",4
"'lead',",4
"'protect',",4
'harm'],4
'problem'],4
"['investor',",4
"'professional',",4
"'practise',",4
"'reality',",4
"['find',",4
'respect'],4
"'rate',",4
"['question',",4
"'majority',",4
"'indians',",4
"['abhijon',",4
"'marketing',",4
"'determine',",4
"'simple',",4
"'field',",4
"['mohitsehgl',",4
"['aruntankha',",4
'meaningful'],4
"'difference',",4
"'wave',",4
"'past',",4
"['stop',",3
"['not',",3
"['artificerexe',",3
"'blame',",3
"['easy',",3
'say'],3
"'pitch',",3
"['instead',",3
"'ct',",3
'share'],3
'future'],3
"'ill',",3
"['employee',",3
"'pointless',",3
"'win',",3
"'information',",3
"'guess',",3
"'censor',",3
'student'],3
"'implement',",3
"['internetjeevi',",3
"'innovation',",3
"'word',",3
"'act',",3
"'mumbai',",3
"'desperate',",3
"'bash',",3
"['shreyasb',",3
"['okarthik',",3
'fear'],3
"'employer',",3
"['money',",3
"'clear',",3
"'speculative',",3
'report'],3
"'advertise',",3
"'cell',",3
"['themaskbeneath',",3
"'bug',",3
"'backfire',",3
"'demand',",3
"'solution',",3
"'scan',",3
'talk'],3
'coronavirus'],3
"'user',",3
'lockdown'],3
"'follow',",3
"['create',",3
"'underlie',",3
"['niknr',",3
"'technology',",3
"'fool',",3
"'doctors',",3
"['edutech',",3
"'orphanage',",3
"['shashispandey',",3
"'perspective',",3
"'comfortable',",3
"'bully',",3
"'not',",3
"'master',",3
"'feedback',",3
"'advantage',",3
"'support',",3
"'board',",3
"'second',",3
"'matter',",3
"'block',",3
"'set',",3
"'fall',",3
"'treatment',",3
"'mainstream',",3
"'current',",3
"['khandekarmanas',",3
"'vast',",3
'answer'],3
"'mapping',",3
'doctor'],3
'friend'],3
"['work',",3
"'computer',",3
"'resemble',",3
"'perception',",3
"'justification',",3
"['long',",3
"'line',",3
"'power',",3
"'history',",3
"'tb',",3
"'quality',",3
"'strain',",3
"'hide',",3
'kill'],3
"'equally',",3
"'succeed',",3
"['time',",3
"'feature',",3
'fast'],3
"'face',",3
'remember'],3
"['trust',",3
"'lazy',",3
"'proportional',",3
"['number',",3
"'man',",3
'number'],3
"'bitcoiner',",3
"['nee',",3
"'exactly',",3
"'intent',",3
'home'],3
"'control',",3
"'choose',",3
"['share',",3
"'leave',",3
"'file',",3
'yes'],3
'like'],3
"'form',",3
"'instead',",3
'accurate'],3
"'metric',",3
"'small',",3
'outcome'],3
"'meet',",3
"'carry',",3
'need'],3
"['kinjalpp',",3
"'story',",3
"'confuse',",3
"'worry',",3
"['akasht',",3
"'conspiracy',",3
"'scientific',",3
'point'],3
"'actually',",3
"['track',",3
"'apply',",3
"['highdeepak',",3
'online'],3
'product'],3
"'credibility',",3
"'mislead',",3
"'whysocuriouscha',",3
"'app',",3
"'common',",3
'find'],3
"'final',",3
"['ganeshrajguru',",3
"['soodstuti',",3
"['love',",3
'p'],3
"'infect',",3
"'surely',",3
"'raise',",3
"'pandemic',",3
"'eye',",3
'good'],3
"'big',",3
"'website',",3
"['hemsu',",3
"'land',",3
"'law',",3
"'body',",3
"'hmm',",3
"'safe',",3
'twitter'],3
"['littlegtweets',",3
"'icu',",3
"['goiyerthecoach',",3
"'trade',",3
"'central',",3
'better'],3
"'illness',",3
"'english',",3
"'prefer',",3
"['rajnishmidas',",3
"'sheet',",3
"'present',",3
"'boneteacher',",3
"'listen',",3
"'flout',",3
"'reduce',",3
"['fear',",3
"'disagree',",3
"['accidntlwriter',",3
"'availability',",3
"'express',",3
"['way',",3
"['simplyamit',",3
"['government',",3
'trust'],3
"'signal',",3
'line'],3
"['mask',",3
"'amplify',",3
"['make',",3
"['teach',",3
"['adityaya',",3
"['siddhantjain',",3
'fact'],3
"'suffer',",3
"'sadly',",3
"'study',",3
"'hate',",3
"'refuse',",3
"'hot',",3
"['child',",3
'india'],3
"'learning',",3
"'tv',",3
"'meshikharv',",3
"['know',",3
"['himanshu',",3
"'justify',",3
"'vaccinate',",3
'startup'],3
"'overuse',",3
"'send',",3
"['manosi',",3
"['krrishon',",3
"'lobbyist',",2
"'insist',",2
'impact'],2
"['comic_strip',",2
"'main',",2
"'play',",2
"'healthy',",2
'add'],2
"['modipari',",2
"'achieve',",2
"'expose',",2
"'stress',",2
"'regulatory',",2
"['panic',",2
'power'],2
"'learningtoearn',",2
"['aramanujaa',",2
"'withdraw',",2
'different'],2
"'colaba',",2
"'abandon',",2
"'physical',",2
"'standard',",2
"['aruloli',",2
"['lokeshgkwd',",2
"['rt',",2
'well'],2
"['try',",2
"'dread',",2
"'vitro',",2
"['new',",2
"'hypocrisy',",2
"'boost',",2
"['inshakhan',",2
"'officer',",2
'interpretation'],2
"'hit',",2
"['thanks',",2
"'mohitsehgl',",2
"'art',",2
"'respectfully',",2
'experience'],2
'decision'],2
"'rock',",2
"'pleasure',",2
"'anti',",2
'thenitishroy'],2
"'proof',",2
"['anandgeor',",2
"'critical',",2
'compare'],2
"'specific',",2
"'specialist',",2
"'pharma',",2
"'plague',",2
"'review',",2
"['thing',",2
"'prepare',",2
"'enter',",2
"'project',",2
"'kanganaranaut',",2
"'nris',",2
'yo'],2
'use'],2
"'riddle',",2
"'translator',",2
"'tactic',",2
"'differentiate',",2
"'ivf',",2
"['finwise',",2
"'educator',",2
"'local',",2
"'intelligent',",2
'bias'],2
"'acquire',",2
'confused'],2
"['ayushsingh',",2
"'aware',",2
"'sad',",2
"['home',",2
"'unreliable',",2
"['ishyawn',",2
"'ppe',",2
"'remain',",2
"'leebaidyanathan',",2
"['insomniac',",2
'education'],2
'sign'],2
"['harigovindkrm',",2
"'politic',",2
"'cred',",2
"['advantage',",2
"'charge',",2
"'plan',",2
'epidemic'],2
"'adaptive',",2
"'physics',",2
"'inversely',",2
"'sorry',",2
"['skjsaurabh',",2
"'mismanage',",2
"'group',",2
'review'],2
'perspective'],2
"['abhi',",2
"'objectivity',",2
'pay'],2
'wh'],2
"['sameer',",2
"'ceo',",2
'hope'],2
'service'],2
'donate'],2
"'ridiculous',",2
"['geekafterglow',",2
"'narwekar',",2
"'encourage',",2
"'view',",2
"'miss',",2
"'technique',",2
"'clever',",2
"'prevent',",2
'ill'],2
"'taxpayer',",2
"'fill',",2
"'ratio',",2
"'discuss',",2
"['politician',",2
'experiment'],2
"'shield',",2
"'maintain',",2
"'remember',",2
"'research',",2
"'anecdotal',",2
'try'],2
"['bug',",2
"'trial',",2
'observation'],2
'debate'],2
"'thekovaicaveman',",2
"'hyperbole',",2
'information'],2
'boat'],2
"'facebook',",2
"'return',",2
"'highlight',",2
'let'],2
'c'],2
"'rt',",2
"'attribute',",2
"'population',",2
"'lesson',",2
"'court',",2
"'available',",2
"'monitor',",2
'afford'],2
"['chiragjani',",2
"'vanity',",2
'classic'],2
"'legal',",2
"'target',",2
'city'],2
"['alexab',",2
"'scene',",2
"['whitehatjr',",2
"'upset',",2
"['die',",2
"['ancientcoder',",2
"['personal',",2
"'extrapolate',",2
'today'],2
"['godexxhealth',",2
"'meta',",2
"'cancel',",2
"'handover',",2
"['vc',",2
"'map',",2
"'mis',",2
"'human',",2
"'unnecessary',",2
"'crackpot',",2
'symptom'],2
"'defamation',",2
"'drive',",2
'success'],2
'fill'],2
"'suit',",2
'wha'],2
'grateful'],2
'bed'],2
"'chance',",2
"'beat',",2
"'process',",2
'vaccination'],2
"['senior',",2
"'desire',",2
"'guideline',",2
'advocate'],2
"'discovery',",2
"'inconvenient',",2
"['business',",2
"'low',",2
"'analyse',",2
"'attract',",2
"['andhagadha',",2
"['nareshm',",2
"'oversight',",2
"'emergency',",2
"'early',",2
"'furious',",2
"['poor',",2
"'marketeer',",2
"'contagious',",2
"'usually',",2
'critically'],2
"'sheep',",2
"'room',",2
'disagree'],2
"'join',",2
"'prescription',",2
"['manage',",2
"'unacademy',",2
"['prashant',",2
"['end',",2
"'consider',",2
"['vaneshmali',",2
"['anjalilal',",2
"'trouble',",2
"'mice',",2
"['shat',",2
"'deliberately',",2
"'lawyer',",2
"['go',",2
"['meet',",2
"'oversimplification',",2
"'excuse',",2
"'editor',",2
"'musk',",2
"['desimaharaj',",2
"['feel',",2
"['garunjaing',",2
"'moral',",2
"['theadityaaj',",2
"'scared',",2
"'age',",2
"'attack',",2
"'prior',",2
'lie'],2
"'politically',",2
'investor'],2
"'huge',",2
"'shortcoming',",2
"['respect',",2
"'ignorance',",2
'end'],2
'subject'],2
"['agilewiz',",2
"'freedom',",2
"['chessyvith',",2
"'lock',",2
"'content',",2
"'setu',",2
"'society',",2
"'mental',",2
'rate'],2
'true'],2
"'accuracy',",2
"['yuganshchokra',",2
"'academic',",2
"'miracle',",2
"'dasshaktikanta',",2
"'popular',",2
"'exciting',",2
"['vpzvaibhav',",2
"'smart',",2
"'paddling',",2
'attention'],2
"'sign',",2
"'area',",2
"'tcs',",2
"['maybe',",2
"'outside',",2
"'afraid',",2
"'thinking',",2
"'investment',",2
'vaccinate'],2
"'angel',",2
"'difficult',",2
"['social',",2
'hospital'],2
"'program',",2
"['let',",2
"'remove',",2
"'likely',",2
"'receive',",2
'business'],2
"'possible',",2
'clearly'],2
"['akhilja',",2
"'confidence',",2
"'tap',",2
"'delight',",2
"'prateek',",2
"'wealth',",2
"['sanjogjz',",2
'science'],2
'effect'],2
"'gut',",2
'responsibility'],2
"'useful',",2
"'channel',",2
"'toxic',",2
"['check',",2
"['amazed',",2
'ago'],2
"'famous',",2
'detail'],2
"'growth',",2
"['early',",2
"'soul',",2
"'earn',",2
'intent'],2
"'arrogant',",2
"'linkedin',",2
"'mr',",2
'million'],2
'happen'],2
"'member',",2
'lead'],2
"['hope',",2
"'family',",2
"'hear',",2
'unreliable'],2
"'entire',",2
"'wait',",2
"'bjp',",2
"['crisis',",2
"'rest',",2
"'asymptomatic',",2
"'compass',",2
"'blur',",2
"['sarveshtwit',",2
"'title',",2
'fool'],2
"'vs',",2
"'testing',",2
'summer'],2
"['boredroomcomedy',",2
"'efficacy',",2
"'coronavaccine',",2
'website'],2
'prescribe'],2
"'country',",2
'ask'],2
"['drsatishpattan',",2
'allow'],2
"'basic',",2
"'count',",2
"'fever',",2
"'translate',",2
"'expect',",2
"'dirty',",2
'week'],2
"'dumb',",2
'fee'],2
"'anandgoudt',",2
"'situation',",2
"'transferable',",2
"'pain',",2
"['entrepreneur',",2
"'film',",2
"'experiment',",2
"'non',",2
"['coronavirus',",2
'wave'],2
"'guilt',",2
'behavior'],2
"'affect',",2
'theorist'],2
"'dept',",2
"['delhi',",2
"'narendramodi',",2
"'private',",2
"['grow',",2
"'irrational',",2
"['allow',",2
"'compare',",2
'teacher'],2
"'handle',",2
"'object',",2
"['drprabhatsingh',",2
'blocking'],2
"'option',",2
"'enemy',",2
"'comfort',",2
"'image',",2
"'burn',",2
"'tocilizumab',",2
"['iamsandeshsoni',",2
"'rat',",2
"['bunny',",2
"'illogical',",2
'tell'],2
"'fault',",2
'customer'],2
"'elon',",2
"['information',",2
"['manindr',",2
"'step',",2
"'exist',",2
"['edittweet',",2
"'cold',",2
"'application',",2
"'connect',",2
"'malpani',",2
"['online',",2
"'recency',",2
"['india',",2
"'kick',",2
"'duty',",2
'spend'],2
"'tool',",2
"['need',",2
'away'],2
"'hero',",2
"'jail',",2
"['tahir',",2
"'ignore',",2
'officer'],2
"'ambani',",2
"'manipulate',",2
"'verify',",2
"['vivekt',",2
"'suspend',",2
"['vempatinithin',",2
"'cure',",2
"'swallow',",2
"'vulnerable',",2
"'will',",2
"'keep',",2
"'prashant',",2
"['abhisheks',",2
'reputation'],2
'medium'],2
"'evil',",2
"'suggest',",2
"'symptom',",2
'company'],2
"'stranger',",2
"'feed',",2
"'city',",2
"['deveshanand',",2
"'reliable',",2
"'party',",2
"['karanbhatia',",2
"'philosophical',",2
"['wonder',",2
'independently'],2
'blame'],2
"'minded',",2
"'behave',",2
'limit'],2
'panic'],2
'tha'],2
"'fat',",2
"'ias',",2
"'profit',",2
"'turn',",2
'bitcoin'],2
"['death',",2
'dream'],2
"'hole',",2
"['parasbaywala',",2
"['dikshasvagarwal',",2
"['fatman',",2
"['sharikakaul',",2
'day'],2
'lot'],2
'public'],2
"'compound',",2
"'mortality',",2
"'financially',",2
"'transmit',",2
"'bread',",2
"'emotional',",2
"'mla',",2
"['logicalsingh',",2
"['study',",2
"'prevalence',",2
"'pc',",2
"'intervention',",2
"['hard',",2
'ad'],2
"['thugmonk',",2
"'certain',",2
"['modern',",2
"'bear',",2
"'immune',",2
"['add',",2
"'hubris',",2
"'citizen',",2
"'spin',",2
"['indian',",2
"['sangitae',",2
"'presence',",2
"['meshikharv',",2
"'damage',",2
"['sprawlingmind',",2
"'strong',",2
'effort'],2
"['gurmangrewal',",2
"'smartphone',",2
'opinion'],2
"'peer',",2
"['saumyasinhab',",2
"['ravyas',",2
"['mymaneuver',",2
"'srinisivabalan',",2
"['satveer',",2
'bad'],2
"'dog',",2
"'dr',",2
"'mutant',",2
"'economist',",2
'r'],2
"'independent',",2
"'belief',",2
"['nilperoral',",2
"'kumbh',",2
"['insightsrohan',",2
'tragedy'],2
"'virulent',",2
'teach'],2
"'rna',",2
"['expect',",2
"['result',",2
"'organic',",2
"'ability',",2
"'show',",2
'past'],1
"'lifelong',",1
"['healthcare',",1
"'newly',",1
"'mobile',",1
"['release',",1
"'levy',",1
"'sensible',",1
"['taherdhanera',",1
"'absolute',",1
"'sensitivity',",1
'finger'],1
'infection'],1
'economy'],1
'space'],1
"'domain',",1
"['spike',",1
"'properly',",1
'institution'],1
'ne'],1
'butte'],1
"['baby',",1
"['value',",1
"['poonawala',",1
"'tele',",1
"'own',",1
"'safety',",1
"'hedonic',",1
"'half',",1
"['angel',",1
"['whiteratsr',",1
"'branding',",1
"['nov',",1
'deserve'],1
"'bit',",1
'inferno'],1
"['unwillingness',",1
"['riteshmauryaj',",1
"['wasi',",1
"['matjazmarussig',",1
"'living',",1
"'punjab',",1
"'frustrating',",1
"'bakasurrr',",1
"'iwritehanded',",1
'poor'],1
"'judiciary',",1
"'access',",1
'grinder'],1
'bore'],1
'tlc'],1
"'unreasonable',",1
"['davidjresetar',",1
'year'],1
"'pm',",1
"'tape',",1
'translate'],1
"'cryptocurrency',",1
'intri'],1
"'shorn',",1
"['contrarian',",1
'attend'],1
"'mailing',",1
"'judging',",1
'collect'],1
'ar'],1
"'gold',",1
'defamation'],1
"'direct',",1
'fit'],1
"'uneducated',",1
"'jr',",1
"['post',",1
"'acquaintance',",1
'understa'],1
"['kapilgorve',",1
"['eye',",1
'leftove'],1
"'glory',",1
"'unsocial',",1
"'complain',",1
"'shantihp',",1
'smart'],1
"'grieve',",1
'cost'],1
"'validation',",1
'assu'],1
'marke'],1
'new'],1
"['clinical',",1
'routinely'],1
"'proactive',",1
"'niche',",1
"'excess',",1
"['exciting',",1
"'liberalism',",1
"'shareholder',",1
'star'],1
"'maturity',",1
"['obsolete',",1
"['ajayvskrma',",1
"'diversity',",1
"['govt',",1
"'general',",1
"'rahuljmathur',",1
"['covid',",1
"'h',",1
"'thenitishroy',",1
"'listing',",1
"'publicise',",1
'control'],1
'surprise'],1
'affected'],1
"'reinforce',",1
"'implode',",1
"'credit',",1
"'rahul',",1
'superstructure'],1
'fas'],1
"'chunk',",1
'platform'],1
"'simplify',",1
"'partially',",1
"'harder',",1
"'copy',",1
"['change',",1
"'imposition',",1
"'ethically',",1
'discussion'],1
"['vcs',",1
"'easily',",1
"'fight',",1
"'bone',",1
'ov'],1
'cohesion'],1
'sure'],1
"'quote',",1
"'document',",1
"'peanut',",1
'mind'],1
'pand'],1
'pitching'],1
'stroke'],1
'sunday'],1
"'sena',",1
"['adityagamedev',",1
'sadly'],1
'laurel'],1
[],1
"['hand',",1
"'wheel',",1
"'tender',",1
"'americans',",1
"'wise',",1
"'shepherd',",1
['aruntankha'],1
"'move',",1
"'tune',",1
"'confused',",1
"'inaccurate',",1
'guy'],1
'datum'],1
"'noise',",1
"'accept',",1
"'superhero',",1
"'impress',",1
"['learnx',",1
"'massive',",1
"'liken',",1
"'lack',",1
"['knowedge',",1
'present'],1
'n'],1
'standard'],1
"'holy',",1
"'jack',",1
"'ordering',",1
'mumbai'],1
"'community',",1
"'bubble',",1
'amazon'],1
"['bank',",1
"'gesture',",1
'explo'],1
'tears'],1
"['impressed',",1
"['finmotivation',",1
'popu'],1
"'flexi',",1
"'comics',",1
"['awkwierdme',",1
"'opponent',",1
"['mass',",1
'saraswati'],1
"'routinely',",1
"['opacity',",1
"'visitor',",1
"['ignore',",1
"'cdc',",1
"'anxiety',",1
"['whysocuriouscha',",1
"'mathematical',",1
"'squabble',",1
"'pile',",1
"'planetary',",1
'meet'],1
"'ache',",1
"'disappoint',",1
"'fire',",1
'harmful'],1
"['come',",1
'issue'],1
"'shrug',",1
"['peek',",1
"'cool',",1
"'crude',",1
"'hotel',",1
"'darknet',",1
'distribution'],1
"'subtitle',",1
"'maharashtra',",1
"'seat',",1
"['tawanug',",1
'class'],1
"'programming',",1
'imprison'],1
"'transmission',",1
"['reach',",1
'equilibrium'],1
'strategy'],1
'jerk'],1
"'mission',",1
'suggest'],1
"'paralyze',",1
'boring'],1
"'logistical',",1
"'hasty',",1
"['shubhagrawal',",1
"'internship',",1
"['forgiving',",1
'award'],1
"'op',",1
"['imdraj',",1
'exception'],1
"['lsahu',",1
'child'],1
'endure'],1
"['atharvranade',",1
'publicly'],1
"['effort',",1
'persistent'],1
"'misdiagnosed',",1
"'limitation',",1
"'teaching',",1
"'off',",1
"'errorrs',",1
"['innovation',",1
"['natrajcreations',",1
"'soodstuti',",1
'fun'],1
"'key',",1
"'relative',",1
"'factorial',",1
"'format',",1
'ski'],1
'hrct'],1
"['sumsaxena',",1
"['friend',",1
"'fruit',",1
"'privileged',",1
"'ascertainment',",1
"['young',",1
"'interest',",1
"'r',",1
"['explain',",1
'question'],1
"'permissible',",1
"'systemic',",1
"['power',",1
'beautify'],1
"'aggressively',",1
"['frugal',",1
"'humble',",1
"'discourage',",1
['trust'],1
"'temple',",1
'fix'],1
"['useful',",1
"'indoctrinate',",1
"'abandonment',",1
'syndrome'],1
"'tab',",1
"'seo',",1
"'regional',",1
'va'],1
'broad'],1
"['lay',",1
"'remained',",1
'op'],1
"'sarcasm',",1
"'fresh',",1
"'grab',",1
"'blunt',",1
"['desire',",1
"['akshaydn',",1
"'mistake',",1
'vcs'],1
"['randomgurl',",1
"'jaundiced',",1
"'meaningless',",1
"'expectation',",1
"['davidsunilindia',",1
'explore'],1
'efficacy'],1
"'record',",1
"'song',",1
"'talker',",1
"['basic',",1
"'morbidity',",1
"['azzaxp',",1
"['option',",1
"'denominator',",1
'daughter'],1
"['wh',",1
'thing'],1
"'fables',",1
"'wage',",1
'infrastructure'],1
"['neerajmohanvp',",1
"'decay',",1
"'butt',",1
"'follower',",1
'tap'],1
"'affordable',",1
"'imanidiot',",1
"'boat',",1
"'expensive',",1
'makemytrip'],1
"'siddharthmukund',",1
"'mortem',",1
"['refuse',",1
'temporary'],1
"'stack',",1
"'reinvent',",1
"'invaluable',",1
"['expose',",1
"'chronic',",1
"'save',",1
"['viswanathsarey',",1
"'mark',",1
'practice'],1
"'blink',",1
'treadmill'],1
"'leak',",1
"'tomorrow',",1
'intangible'],1
"['peer',",1
"'optimist',",1
"'soon',",1
'asap'],1
'unqualified'],1
"'dante',",1
"['journalist',",1
"'rishavsaha',",1
'important'],1
"'obtuse',",1
"'serve',",1
'thei'],1
'dashboard'],1
"'ranamishka',",1
"['joshinishith',",1
"'annually',",1
"'guy',",1
"'rubbish',",1
'night'],1
"'celebrate',",1
"['salujamah',",1
"['happen',",1
'intention'],1
"'additional',",1
"['symptom',",1
'citizen'],1
"'wasteful',",1
"['warm',",1
"['school',",1
"'wolf',",1
"'classical',",1
['taherdhanera'],1
'exclusive'],1
"'unintended',",1
"'buff',",1
"['cold',",1
"'schedule',",1
"'referral',",1
"'meaningful',",1
'freely'],1
"'bullying',",1
"'hearing',",1
"'drop',",1
'pie'],1
"'dramatically',",1
"['trader',",1
'fight'],1
'bein'],1
"'security',",1
"'ignorant',",1
"'minute',",1
"'water',",1
'eve'],1
"'wire',",1
"'iit',",1
"['productivity',",1
'treatment'],1
"['faisalwahid',",1
"'headhunter',",1
"['makemytrip',",1
"['sahilypatel',",1
"'boss',",1
"'price',",1
'middleman'],1
'bel'],1
'l'],1
"'polio',",1
"'few',",1
"['kgrao',",1
'app'],1
"'hour',",1
"['travellgasm',",1
'rti'],1
"'spectator',",1
'st'],1
'mask'],1
"['fun',",1
'lazy'],1
"'iamcheated',",1
'collab'],1
"'session',",1
"'enable',",1
"['sit',",1
'agility'],1
"'separately',",1
'dictator'],1
'develop'],1
"['black',",1
'generalization'],1
'unfair'],1
"'distribution',",1
"'slippery',",1
"['spreadsheet',",1
'grant'],1
"'tablet',",1
"['pick',",1
"'resume',",1
"'vaguely',",1
"'businessman',",1
"['chiragpal',",1
"'salary',",1
'king'],1
"'newspaper',",1
